id,name,thumbnail_image_url,category_id
1,남성니트,http://image.mujikorea.net/display/shop/MJ1A01A01A01/2021-03-25_m01.png,1
2,남성셔츠,http://image.mujikorea.net/display/shop/MJ1A01A01A03/2021-03-25_m03.png,1
3,남성아웃트탑,http://image.mujikorea.net/display/shop/MJ1A01A01A04/2021-08-g-02-04-category_ctbn.jpg,1
4,남성하의,http://image.mujikorea.net/display/shop/MJ1A01A01A05/20-0911_m05.jpg,1
5,여성니트,http://image.mujikorea.net/display/shop/MJ1A01A02A01/2021-08-g-03-01-category_ctbn.jpg,2
6,여성 셔츠 원피스,http://image.mujikorea.net/display/shop/MJ1A01A02A03/2021-08-g-03-03-category_ctbn.jpg,2
7,여성 아웃트탑,http://image.mujikorea.net/display/shop/MJ1A01A02A04/2021-08-g-03-04-category_ctbn.jpg,2
8,여성 보텀,http://image.mujikorea.net/display/shop/MJ1A01A02A05/2021-08-g-03-05-category_ctbn.jpg,2
